Afiliações Consideradas,Nome Fantasia,Status,Natureza Jurídica,Segmento,Canal,Subcanal,Grupo 1,Grupo 2,Grupo 3,Grupo 4,Credenciado por,Força de Vendas,Carteira de Atendimento,Data de Credenciamento,Data de Ativação,Qtd. de POSs,Data da Última Transação,TPV Precificado,TPV M-3,TPV M-2,TPV M-1,TPV M-0,Receita Total M-1,Imposto Total M-1,Custo Total M-1,Lucro Bruto M-1,Receita Net MDR M-0,Receita RAV M-0,Receita Mensalidade M-0,Receita Cartão M-0,Receita Pix M-0,Receita Boleto M-0,Receita TED M-0,Receita Floating M-0,Receita Banking Outros M-0,Receita Seguro de Vida M-0,Receita Seguro de Loja M-0,Receita Seguro Vitalício M-0,Receita Total M-0,Imposto Net MDR M-0,Imposto RAV M-0,Imposto Mensalidade M-0,Imposto Cartão M-0,Imposto Pix M-0,Imposto Boleto M-0,Imposto TED M-0,Imposto Floating M-0,Imposto Banking Outros M-0,Imposto Seguro de Vida M-0,Imposto Seguro de Loja M-0,Imposto Seguro Vitalício M-0,Imposto Total M-0,Custo por Transação M-0,Custo por TPV M-0,Custo Antecipação M-0,Custo Cartão M-0,Custo Pix M-0,Custo Boleto M-0,Custo TED M-0,Custo Floating M-0,Custo Banking Outros M-0,Custo Seguro de Vida M-0,Custo Seguro de Loja M-0,Custo Seguro Vitalício M-0,Custo por Cliente M-0,Custo por POS M-0,Custo Total M-0,Lucro Bruto M-0
103809059/207141941,REDE MAXXI,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,diuliano.otero@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,28/08/24,28/08/24,0,24/04/25,50000.0,10152.86,13146.94,5890.43,0.0,460.94,,,237.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.85
768192227/808812695,CENTRO ESTETICO DEPIDEPIL,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,valeska.oliveira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,03/10/24,04/10/24,0,10/04/25,30000.0,15418.34,18384.65,5969.93,0.0,840.31,,,345.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107498018/272695444,Mercado nena,Credenciado,MEI,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,gabrielle.rodrigues@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,16/12/24,19/12/24,0,20/04/25,30000.0,19254.52,37615.32,12463.18,0.0,225.32,,,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281601685/174350749/110923463,Valerie bistro lounge,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,hanna.vieira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,28/02/25,06/03/25,1,11/04/25,30000.0,0.0,394.1,1705.0,0.0,220.4,,,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,
118376938/565233640,Joy Informatica,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,patricia.lima@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,07/02/24,09/02/24,3,24/04/25,34000.0,5035.47,10185.9,4557.3,0.0,544.3,,,315.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
984033936/205854731/516016783,Vg ESQUADRIAS,Cancelado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,mnunes@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,28/04/22,02/05/22,0,28/04/25,114000.0,101784.44,126894.4,180850.96,0.0,17905.9,,,8581.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
145465869/553534043,Divine estetica,Credenciado,PF,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,milena.fabrin@stone.com.br,INBOUND,ATENDIMENTO AGENTE,11/01/24,22/01/24,1,28/04/25,20000.0,27300.0,4000.0,12000.0,0.0,1998.79,,,940.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
207813573/791250234,MERCADO SACOLAO COLONIAL II,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,douglas.rdasilva@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,18/07/24,19/07/24,0,11/04/25,50000.0,103605.47,10052.73,337.21,0.0,242.99,,,114.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
102600856,Rojo Parfum,Cancelado,PF,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,daniel.feldmann@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,17/12/24,24/12/24,0,19/04/25,15000.0,2215.09,4950.19,377.6,0.0,138.95,,,62.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.49
705642022/194455455,ROUPA NOVA,Credenciado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Centro,roxanne.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,14/04/25,15/04/25,0,15/04/25,30000.0,0.0,0.0,1045.0,0.0,43.26,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
569592461/187824229/177522947,Boutique Acessorios,Credenciado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,igor.rmachado@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,07/12/23,07/12/23,0,15/04/25,15000.0,11904.62,11492.65,3332.4,0.0,140.33,,,18.28,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.39,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.45
135266116/221705925/915124299,Filhos de Patas,Credenciado,MEI,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,carlos.dorneles@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,29/02/24,01/03/24,0,07/04/25,50000.0,11089.4,2169.8,455.8,0.0,345.29,,,187.12,0.0,26.46,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,27.58,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,13.91
103731219/156976372,Gas Central Park,Cancelado,PF,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,28/11/24,28/11/24,1,23/04/25,30000.0,17761.71,13220.88,10349.95,0.0,307.69,,,139.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
175237165/748155741,Atc distribuidora de cilios,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,tiago.padilha@stone.com.br,INBOUND,ATENDIMENTO AGENTE,29/04/22,03/05/22,1,24/04/25,14000.0,10700.6,10544.72,8556.64,0.0,544.22,,,267.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
196603453,Mercado da familia 2,Cancelado,MEI,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,gabrielle.cardozo@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,24/02/25,26/02/25,1,24/04/25,15000.0,1145.07,4486.24,131.7,0.0,124.49,,,33.62,0.0,0.0,109.0,0.0,0.15,0.0,0.0,0.01,0.0,0.0,0.0,0.0,109.16,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,84.09
661937374/114308122,Clinica Maria De Fatima,Credenciado,PF,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,patricia.lima@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,30/08/23,30/08/23,0,03/04/25,25000.0,29990.0,30000.0,7580.0,0.0,428.46,,,145.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153797311/526654048,Espaco da Moto,Credenciado,MEI,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,guilherme.ffreitas@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,27/09/24,27/09/24,0,09/04/25,30000.0,20322.99,21003.2,4459.0,0.0,257.98,,,70.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106680048,LD TROCA DE OLEO E CONVENIENCIA,Credenciado,PJ,Posto,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,26/03/25,01/04/25,3,30/04/25,50000.0,0.0,0.0,28806.16,0.0,800.82,,,30.34,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,
662793146/159852697,FERRAGEM PRIMAVERA,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,gabrielle.rodrigues@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,11/12/24,12/12/24,1,30/04/25,15000.0,16179.18,7063.85,1281.01,0.0,163.51,,,52.53,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.39,0.0,0.0,0.0,0.0,23.39,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
100911923/192673608,Marya Roupas,Credenciado,MEI,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,,POLO TERCEIRO,ATENDIMENTO ESPECIALISTA,23/11/17,02/12/17,0,14/04/25,130000.0,917.0,16666.0,5572.0,0.0,891.56,,,379.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538719732/198925547,Agropecuaria Doujoto,Credenciado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,rafael.molina@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,01/09/20,02/09/20,2,28/04/25,55000.0,15011.71,12991.43,12766.1,0.0,423.83,,,153.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
191454500/144445812,New Modas,Credenciado,PF,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,isadora.torres@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,15/10/24,17/10/24,0,15/04/25,30000.0,5594.5,5863.5,21797.5,0.0,473.86,,,199.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
149678894,Douglas,Cancelado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,diogo.berriel@stone.com.br,INBOUND,ATENDIMENTO AGENTE,23/01/25,24/01/25,0,18/04/25,30000.0,31625.96,25747.07,17490.2,0.0,478.72,,,207.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1
153480454/801049419,Emporio,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,roxanne.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,30/08/24,30/08/24,2,27/04/25,30000.0,475.0,864.0,166.0,0.0,161.37,,,56.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
747853289/182398822,Canoas colchoes   ,Credenciado,MEI,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,luana.moncores@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,14/03/23,17/03/23,1,21/04/25,30000.0,0.0,0.0,826.01,0.0,37.56,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
638549574/122248116/501937633,CASABEM ALVORADA,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,juliana.esteves@stone.com.br,INBOUND,ATENDIMENTO AGENTE,12/03/25,29/03/25,1,16/04/25,30000.0,0.0,2980.0,25897.8,0.0,3285.82,,,1036.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
150174525/234066313,Clinica Unidas,Cancelado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,patricia.lima@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,12/09/23,13/09/23,0,08/04/25,20000.0,8875.0,18420.0,9330.0,0.0,862.0,,,433.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.19
781794439/471959071,Filhas de Patas 3,Credenciado,PF,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,carlos.dorneles@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,25/06/24,27/06/24,0,07/04/25,35000.0,16559.25,13481.7,4214.9,0.0,451.67,,,211.91,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5
622447273/694621996,TOIGO TINTAS 2,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,valeska.oliveira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,15/06/23,15/06/23,0,30/04/25,30000.0,1777.9,1351.5,6080.0,0.0,218.8,,,89.61,0.0,24.73,0.0,0.0,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,27.92,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,7.03
207300088/125520422,MERCADO 2 GURIS,Credenciado,PJ,Supermercado/Farmácia,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,isabel.lara@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,20/08/24,20/08/24,1,30/04/25,30000.0,10126.44,5741.43,1137.21,0.0,99.08,,,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,
148395796/386085580,BM BEER DISTRIBUIDORA,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,harmonia,vinicius.buhle@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,05/10/23,06/10/23,1,08/04/25,7000.0,388.9,209.7,269.7,0.0,18.41,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
179490373/107395200/108180044,GUIDO CAFE & CO.,Credenciado,PJ,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Park Shopping,carlos.dorneles@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,31/10/24,31/10/24,0,03/04/25,30000.0,7683.28,2242.45,1367.6,0.0,185.94,,,91.81,0.0,0.0,0.0,9.04,0.0,0.0,0.0,49.8,0.0,0.0,0.0,0.0,58.84,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,54.71
181031533/159871801,Casa Della Pizza,Credenciado,PF,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Ritter,valeska.oliveira@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,29/10/24,31/10/24,0,16/04/25,15000.0,3349.9,511.0,1981.5,0.0,115.12,,,18.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671788728/135910646/144215677/206198282,ALEMAO AUTO CENTER,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Fatima,guilherme.ffreitas@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,07/10/24,08/10/24,0,04/04/25,30000.0,37642.46,28066.65,8981.16,0.0,604.95,,,289.87,0.0,408.78,0.0,0.0,0.0,0.18,0.0,1.75,0.0,0.0,0.0,0.0,410.71,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,192.05
345433065/184173357,Casa do Costelao,Credenciado,PF,Alimentação,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,yago.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,07/02/25,07/02/25,1,20/04/25,15000.0,354.0,190.0,248.0,0.0,115.1,,,29.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
209821092/706451232,LAVO CANOAS,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,tamara.mello@stone.com.br,ESPECIALISTA,ATENDIMENTO ESPECIALISTA,11/04/24,02/05/24,0,21/04/25,15000.0,5114.5,5323.55,3484.3,0.0,92.48,,,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145497981/915369971,SOFI BELEZA COWORKING,Credenciado,PJ,Serviços,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Marechal Rondon,jerson.junior@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,13/11/24,19/11/24,0,07/04/25,30000.0,5526.44,3814.03,1327.44,0.0,107.84,,,26.79,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,6.42,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.32
153357594/171390434,Cleric Club,Credenciado,PJ,Varejo,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Igara,yago.barbosa@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,07/03/25,12/03/25,0,05/04/25,15000.0,0.0,4517.36,1769.5,0.0,38.28,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159429363/852391014,Vip Som,Credenciado,PJ,Bens duráveis,POLOS,POLO PROPRIO,SUL,DISTRITO GAUCHO,POLO CANOAS,Nova Santa Rita,daniel.feldmann@stone.com.br,POLO PROPRIO,ATENDIMENTO AGENTE,04/12/24,09/12/24,0,10/04/25,30000.0,28792.34,19812.9,2887.8,0.0,195.49,,,56.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
